,level_0,Unnamed: 0,index,Area,Diameter (um),Volume (um3),FITC,TRITC,Alexa,FITC_b,TRITC_b,Alexa_b,Name,Source,Exp,Ratio,Ratio2
68,356,68,37,5.562,2.6611573324057667,9.867571388560584,85.75258726717328,27.719502501887092,2505.7854086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.7557152374799643,0.2557152374799643
69,357,69,39,3.893,2.226369589186393,5.778171207135085,9.03758726717328,0.8085025018870908,3032.86540863802,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.9178859302677018,0.4178859302677018
70,358,70,40,5.191,2.570872707218354,8.89693348211365,46.65658726717328,28.979502501887083,2980.1514086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.6168561517343085,0.11685615173430852
71,359,71,41,0.742,0.971979291031188,0.4808057559634276,8.502587267173283,11.336502501887082,2824.3414086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.42857748849109567,0.07142251150890433
72,360,72,42,23.978,5.525372186890195,88.32491619816872,27.94658726717327,16.00650250188707,3366.1794086380205,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.6358275928725621,0.13582759287256208
73,361,73,44,10.567,3.668013395452157,25.839931699828632,8.41858726717328,1.5285025018870897,3372.5164086380205,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.846336713815394,0.346336713815394
74,362,74,45,10.32,3.6248906330628623,24.93924755547249,32.09158726717328,17.472502501887078,3387.0004086380204,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.647476578641942,0.14747657864194197
75,363,75,46,18.107,4.801515222981137,57.96069076167964,7.273587267173269,21.559502501887096,3393.64840863802,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.25226527317853614,0.24773472682146386
76,364,76,47,6.674,2.9150644455247425,12.970093406288084,176.89158726717326,2507.651502501887,1032.2214086380204,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.06589262356835199,0.434107376431648
78,366,78,49,3.214,2.0229166806319068,4.334436141033964,138.58558726717328,7.355502501887088,449.5724086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.9495995095450736,0.44959950954507355
80,368,80,51,7.601,3.1109313363576465,15.764126058436313,30.87458726717327,9.05850250188709,3263.1704086380205,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.773157986164509,0.27315798616450904
82,370,82,53,5.5,2.6462837142006137,9.70304028540225,11.130587267173269,5.249502501887093,3112.98140863802,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.6795193081418486,0.17951930814184858
83,371,83,54,5.315,2.6013973514762005,9.21761794873067,289.93458726717324,0.37750250188707923,870.5624086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.9986996666167525,0.49869966661675247
84,372,84,55,15.079,4.38168678650831,44.04763670250588,68.18758726717328,18.50450250188709,3428.92740863802,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.7865491240183349,0.2865491240183349
85,373,85,57,2.657,1.8392926548978896,3.258000389375795,9.643587267173274,7.726502501887069,2960.3414086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.555183501950028,0.05518350195002797
87,375,87,59,14.893,4.354578801645548,43.23516139527143,29.110587267173287,6.013502501887075,3243.9304086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.8287926451211792,0.32879264512117923
88,376,88,60,5.809,2.719604477744248,10.532121607477558,439.36258726717335,9.490502501887079,70.67140863802035,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.9788561052197056,0.47885610521970556
90,378,90,63,17.551,4.727221937845402,55.311648154083095,39.691587267173276,3.4525025018870963,3473.6654086380204,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.9199773938825112,0.4199773938825112
91,379,91,64,7.848,3.161073227098916,16.538735124181525,90.49458726717327,44.49250250188709,3144.6324086380205,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.6703943867668672,0.17039438676686725
92,380,92,65,0.803,1.0111435874406445,0.5412988671432248,128.16258726717328,0.0,0.0,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,1.0,0.5
93,381,93,66,5.624,2.675948280440142,10.033022086130238,23.634587267173288,3.7515025018870745,2857.1324086380205,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.8630143064043644,0.3630143064043644
95,383,95,68,1.298,1.2855601615895855,1.1124380598288546,100.46658726717328,22.967502501887083,564.1984086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.8139290163288095,0.31392901632880954
98,386,98,71,23.669,5.489654523222438,86.62308860676791,4.766587267173293,8.536502501887071,3433.2264086380205,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.35830678059913373,0.14169321940086627
99,387,99,72,21.877,5.277751559155769,76.97424723976715,107.26358726717328,405.11150250188706,3409.4604086380205,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.20934582771289592,0.2906541722871041
100,388,100,73,2.163,1.6595231650272788,2.393032403969336,20.628587267173288,19.329502501887077,2926.97040863802,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.5162555914558771,0.016255591455877072
102,390,102,75,2.163,1.6595231650272788,2.393032403969336,30.94258726717328,31.043502501887076,2509.3124086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.4991859848307114,0.0008140151692885844
103,391,103,76,1.854,1.5364199022204157,1.8990149991444336,170.48558726717326,0.0,0.0,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,1.0,0.5
104,392,104,1,3.77,2.190916037563184,5.506502307742137,20.179312782908966,30.08988403596254,2543.3243270294606,151.44368721709102,151.79511596403745,205.5776729705396,R2_5h_#2,2_5_2_0012.csv,1,0.4014250089496849,0.09857499105031509
105,393,105,3,4.264,2.3300415058000006,6.623531320487468,17.469312782908986,33.19088403596254,2816.3503270294605,151.44368721709102,151.79511596403745,205.5776729705396,R2_5h_#2,2_5_2_0012.csv,1,0.3448331013274204,0.1551668986725796
107,395,107,5,3.461,2.099209866670886,4.843576899031957,17.056312782908975,13.865884035962551,2657.8863270294605,151.44368721709102,151.79511596403745,205.5776729705396,R2_5h_#2,2_5_2_0012.csv,1,0.5515880027158895,0.05158800271588948
108,396,108,6,7.787,3.1487642552043678,16.34628483685094,107.81831278290898,6.82388403596255,2944.8433270294604,151.44368721709102,151.79511596403745,205.5776729705396,R2_5h_#2,2_5_2_0012.csv,1,0.940476681140855,0.44047668114085503
109,397,109,7,10.32,3.6248906330628623,24.93924755547249,1447.7423127829088,343.99488403596257,1085.6143270294604,151.44368721709102,151.79511596403745,205.5776729705396,R2_5h_#2,2_5_2_0012.csv,1,0.8080104132198036,0.3080104132198036
110,398,110,8,6.118,2.7909997374936686,11.383557595990844,20.687312782908975,737.1538840359625,886.6043270294604,151.44368721709102,151.79511596403745,205.5776729705396,R2_5h_#2,2_5_2_0012.csv,1,0.02729768831484278,0.4727023116851572
