,R1_5h_2krpm,R1_5h_5.2krpm,R1_5h_16krpm,R1_5h_30krpm,R2_5h_2krpm,R2_5h_5.2krpm,R2_5h_16krpm,R2_5h_30krpm,R1_0h_0krpm
87,0.04722429760668945,0.33298639209421976,0.06498614883180276,0.43366347458702437,0.17285416880810828,0.12291086935255979,0.0023286448318108888,0.048722807301224025,0.4746008206832071
88,0.47917639278844226,0.12147446312629129,0.15171347055428153,0.3554818458740129,0.4917349486269916,0.39325040934840483,0.11108251803827618,0.03951249157502834,0.30655891708461935
89,0.37462348750168284,0.4777320594758566,0.019481242318531655,0.060134538716029196,0.43098403837155064,0.38107078682027695,0.11688908831672418,0.09566852271080023,0.45059067498088134
90,0.2485130190942978,0.09619340838141294,0.12428206366923855,0.02070440989946798,0.3219753811454248,0.36279464273230866,0.125713720753877,0.05948521843448884,0.49362075358510293
91,0.3068759854310432,0.4882368988958386,0.36880099435485425,0.15479754450370764,0.27027547909315863,0.07059999482238166,0.021153410597937627,0.2496754164041438,0.5
92,0.007061926284285869,0.17891871385021468,0.20784726859328495,0.3960776004890251,0.1799884498486667,0.3455742137477413,0.1731589474795573,0.02305052344131031,0.2418313427559905
93,0.08611210307809425,0.22704065108214844,0.21524988964983005,0.20067002514844295,0.19772501976044587,0.22297922917661173,0.3867658517597907,0.12496931260281985,0.20647819553583746
94,0.28362922976727617,0.4959508613479884,0.03795787790625643,0.07830885448763286,0.4244123609512086,0.39748987435170735,0.05667325982616489,0.23147385719110725,0.5
95,0.214186760804154,0.4542066430122772,0.43753264972005557,0.12403216155968222,0.01360350831082835,0.2475315367183149,0.023196383983162705,0.03273265582410295,0.3861991478801863
96,0.15267002288424503,0.4881766667833378,0.2557203422969081,0.02513570953092975,0.3566177568344634,0.4955416391247396,0.22554123554013816,0.036684865218508556,0.4616215268389322
97,0.36655014755739357,0.25130455239497196,0.3462613479045553,0.1146957445241753,0.3673661444899309,0.44297069980358506,0.10917774195935609,0.07454296467637067,0.41718215749352405
98,0.38122528750260887,0.3532066030848935,0.18177436282195114,0.035586163800711,0.3770050795186073,0.3523923324254655,0.06104531903786664,0.08259817406348557,0.5
99,0.4000564522783334,0.49747570753839265,0.19896353672829947,0.11117887298726353,0.16862508201130855,0.22208716760764935,0.3075477981843381,0.04481074165777371,0.4499423539811813
100,0.20150118181527538,0.4923438843442831,0.16023091369895937,0.0900101716077426,0.063101313246889,0.3237161961132299,0.2987172905822869,0.11684716119479333,0.49949308325019126
101,0.2716415349632305,0.01940718707962319,0.3289954813430004,0.3493805223599703,0.4152869052800602,0.3595866288934886,0.0962059809050464,0.05843182133830338,0.4631311628277458
102,0.14279712533046152,0.15584366306166575,0.35146029725132544,0.38641193928703693,0.044150554442027645,0.3572132135753834,0.1467541184695232,0.04144685801605186,0.5
103,0.11126759658703056,0.3624733880297517,0.22251635882719611,0.1683820372758411,0.49915903137181494,0.2824130588542315,0.20681191074705507,0.007092815548760845,0.5
104,0.10872024443600187,0.393063353846113,0.3845524490324098,0.01945010705071365,0.43405954211550335,0.1449296257966468,0.27373539035141115,0.011717793540648058,0.5
105,0.15857238172940952,0.49917465045389053,0.10464741537755051,0.09082680303863955,0.2566778385231818,0.4825435237196519,0.038805226964652606,0.018227177823256557,0.28925872156957744
106,0.24234117982401626,0.4704327356022159,0.48428810330367994,0.07135210137441206,0.485680995080205,0.27791495217268203,0.13830063082276467,0.091675588245961,0.5
107,0.4377040749884811,0.49299005613258495,0.1922693375411868,0.007796679225047898,0.28545136300306295,0.22537079720932474,0.2091021541378255,0.006144243495920687,0.4233956832615715
108,0.2999921786010996,0.48745076169188367,0.31098765601732103,0.3486426725672385,0.4085369027814899,0.46660573507885983,0.1667245023840393,0.04514636442672215,0.493021910500979
109,0.08776939509090442,0.26558495445976316,0.10536009281303155,0.15316889339776069,0.49727310146823067,0.1713375450308764,0.420463696627721,0.08306131198479849,0.22757620671308526
110,0.18551749341030255,0.476625825117412,0.2058473903456849,0.012440336267000585,0.17111954491131676,0.2562236033090479,0.09310058073467381,0.10354540471650886,0.49931667746915837
111,0.22823805842179423,0.2725514296769337,0.14468907243826268,0.13813335188697623,0.47846025917328827,0.43475071208906657,0.009867574667299706,0.16398154168328083,0.44273623569527754
112,0.008543338492772612,0.13627482052080908,0.28541154166862714,0.06528142887027988,0.35543355868167636,0.2149955789319269,0.28365753561546303,0.06990576423296058,0.49970363850905125
113,0.38139422872005097,0.4063799444424925,0.34194602832382653,0.03537013531361666,0.35774162401483167,0.1454615987841768,0.182823788938769,0.01927789508323291,0.46957635967793454
114,0.3013168815157308,0.3024120703884189,0.09169007368866755,0.10626012631842607,0.264776428279597,0.2005072741681091,0.0671673744684988,0.24787566169479736,0.5
115,0.32882281976747296,0.37433329574216034,0.04217319606911685,0.18108965261139603,0.4032186313928292,0.35077930474146757,0.01265785821970622,0.041423952646235385,0.456238200696758
116,0.06054027068386825,0.3838312738064858,0.2501227342297355,0.09361439905266067,0.09722515909379548,0.020021179979333947,0.14470261280840258,0.036379066010565064,0.40609812522206656
117,0.49794658009959203,0.4511477688736366,0.4038516316241523,0.1508688951387986,0.27635941483061566,0.4770606914902818,0.1309176114422787,0.08271217994397329,0.5
118,0.4727958093652874,0.48905783130263214,0.30203833824119186,0.03385855690809303,0.16870326268055413,0.42500578737276673,0.25012020516254224,0.053420882315521556,0.16054569171749689
119,0.04187300951243622,0.22012556169647657,0.2502627838135465,0.3404305064235974,0.3660283051483074,0.12519284344044274,0.20324740268120278,0.0038507621582370977,0.349521221014251
120,0.49136800751509985,0.4279807570268498,0.4512827560586964,0.16372835527732893,0.3374340805236641,0.280683130292704,0.3452160323047476,0.09047465174684122,0.5
121,0.32989063127259954,0.46983701876025064,0.052042743282152526,0.4318180214941395,0.39505379150374564,0.00671469385238932,0.16097562606129345,0.03986003621201939,0.18121511469648682
122,0.4094829143845723,0.31595567587468754,0.3994995964103911,0.1388460500228637,0.4902213303141114,0.21951121375075522,0.43334565257476876,0.04438621676209997,0.5
123,0.4922195404241143,0.1425337392217415,0.2688860707671571,0.4389301552648147,0.46364545188099127,0.3850637680130504,0.09760346057553992,0.010201871691895403,0.4108948456634406
124,0.49002593165579544,0.49447325708272594,0.49502081710729484,0.033439010521190415,0.4889467843675041,0.06577725313062155,0.3172754772872712,0.033846585561449594,0.48183796760835484
125,0.16785016466797564,0.3248987348408867,0.3684491296141529,0.39795439589231574,0.31584117199691564,0.3942924853438785,0.029387688741697948,0.08613372399557517,0.4986183910480212
126,0.4244463701838214,0.5,0.4183053061373846,0.058107045495207454,0.2675598086633716,0.44611568784440603,0.12114257818801105,0.09426769184868761,0.4737322025041912
127,0.4796326336003923,0.45713746989773796,0.02811173007290646,0.09644341883756491,0.41734474205938865,0.25460919297917406,0.27612430892156115,0.073756089004967,0.4863061632583263
128,0.027601420896783968,0.08127577916186546,0.05909382774585975,0.023109494754395832,0.3447722244188628,0.46224720896652405,0.0743779097855567,0.03342967894326887,0.4544236335388754
129,0.49208762322721544,0.49040455932883564,0.10695631520024285,0.06108477222587266,0.23131286365602288,0.43038728411285365,0.0721330943526231,0.16858543510225943,0.5
130,0.48653916423917803,0.4750544809082784,0.2277602709849746,0.15362245941570596,0.44282920542662885,0.48904486550543713,0.42190338829125673,0.044038141908734674,0.4824141755582454
131,0.1129616835076197,0.4091481362085798,0.38344000788120935,0.19094101220935916,0.22678142648497668,0.20637178381046262,0.051116409178219024,0.0951619471027188,0.4990745953928305
132,0.29097305042749255,0.49893901293581067,0.07873484728029645,0.0475046548732001,0.33385064894087957,0.13506470704801998,0.4482547355121145,0.09774610144168272,0.48442482222716127
133,0.4982991861800885,0.4712464182429066,0.4218196718199815,0.11833670509022615,0.46541102796435785,0.2120448896955599,0.03401321088072462,0.34107777105849935,0.4157010674309459
134,0.4973749849942477,0.4877088600815749,0.11912760488160506,0.12875073032372014,0.3075390247872878,0.06753207205219769,0.3783457257444822,0.001662727924118923,0.4500704823524776
135,0.23105296181529872,0.4776603529935789,0.42347869556398665,0.012199906040085529,0.18179377225226157,0.47048514400093555,0.39967222639222555,0.23712065499711354,0.009495597995040406
136,0.4928524189756054,0.47407993951657856,0.36728307840728525,0.15909205899815493,0.46774364867832063,0.29815726728661884,0.08176269831746019,0.06665292713705262,0.5
137,0.13836837582276107,0.47762507959232636,0.06902470211042777,0.2807824071630549,0.1420633073112869,0.23948698697445536,0.028073806218197217,0.02653703835765786,0.49546713525642627
138,0.4886556804957115,0.0610674254171909,0.01961140620248547,0.34154568882758773,0.20756268485926826,0.2209751916389633,0.007637947878330276,0.06665689366090444,0.4617993194803287
139,0.10470509638839753,0.17771033034337097,0.059107543209238944,0.10012225440102696,0.17114221748002667,0.11654529233166877,0.08653260168662491,0.008415778036746424,0.31265689594774115
140,0.4906282558907792,0.11949919654988184,0.372149724112563,0.3038475562135877,0.2818188635317411,0.3554423582855203,0.1976594129027151,0.02346415827731524,0.005305230417100959
141,0.4922669191144187,0.09755887132855179,0.3441117221735084,0.33899715560057586,0.2437116999482246,0.26042078105763067,0.24385902639120627,0.0725871609390184,0.4880079253305092
142,0.48929468266784476,0.307027288317789,0.008000733810344718,0.10887332618516798,0.4515831684423026,0.15165583338708788,0.41802485122889643,0.04360583029746934,0.31835397900732687
143,0.4710915509168192,0.47257080680617386,0.39061097024264946,0.08405977571599565,0.01380348959615485,0.05223840444497485,0.029172321220227726,0.076482659008271,0.5
144,0.10021810450662533,0.22486015582771868,0.48362634081965183,0.020164886777215396,0.5,0.4236987974654908,0.030900816393897856,0.18335027263561088,0.5
